ENSEMBL_gene_id	Chromosome	Gene_start	Gene_end	HGNC_symbol
ENSG00000219789	1	1873	3533	RP11-34P13.1
ENSG00000146556	1	4274	19669	AL627309.15-1
ENSG00000221311	1	20229	20366	hsa-mir-1302-2
ENSG00000222027	1	24417	25944	FAM138E
ENSG00000222003	1	24417	25944	FAM138A
ENSG00000197490	1	42912	44799	AL627309.15-2
ENSG00000205292	1	52878	53750	AL627309.15-4
ENSG00000177693	1	58954	59871	OR4F5
ENSG00000219467	1	120967	123786	RP11-34P13.10
ENSG00000220902	1	125110	127902	RP11-34P13.11
ENSG00000222623	1	147647	147750	U6
ENSG00000209338	1	147647	147749	AL627309.15-3
ENSG00000196573	1	218155	218517	AP006222.1
ENSG00000220596	1	315959	317975	RP4-669L17.8
ENSG00000219774	1	319289	322106	RP4-669L17.9
ENSG00000177799	1	357522	358460	OR4F29
ENSG00000219754	1	368993	369316	RP4-669L17.6
ENSG00000219764	1	554305	554676	RP5-857K21.9
ENSG00000209341	1	554742	554813	AC114498.2-1
ENSG00000209342	1	554815	554882	AC114498.2-2
ENSG00000217866	1	554883	555926	RP5-857K21.8
ENSG00000209343	1	555925	555992	AC114498.2-3
ENSG00000209344	1	556000	556068	AC114498.2-4
ENSG00000209346	1	556070	556142	AC114498.2-5
ENSG00000209349	1	556239	556304	AC114498.2-6
ENSG00000212875	1	556317	557859	RP5-857K21.6
ENSG00000209350	1	557859	557930	AC114498.2-7
ENSG00000209351	1	557932	557999	AC114498.2-8
ENSG00000212874	1	558000	558681	RP5-857K21.7
ENSG00000209352	1	558707	558776	AC114498.2-9
ENSG00000220375	1	558778	558984	RP5-857K21.14
ENSG00000212679	1	558939	559619	RP5-857K21.10
ENSG00000212678	1	559619	560165	RP5-857K21.11
ENSG00000216308	1	600103	600426	RP5-857K21.12
ENSG00000185097	1	610959	611897	OR4F16
ENSG00000217772	1	647328	650150	RP11-206L10.15
ENSG00000217260	1	651474	653390	RP11-206L10.1
